	80828
Iraqi Kurdish	48149
affordable small-sized passenger cars	153621
how Major League pitcher John Smoltz	87077
Duesselhyp	76862
57.3 billion	136825
offshore trading	115634
Front-month	54621
Time magazine	78152
Islam Without Extremes	43049
Nike Golf Junior Championships	51840
three new jobs	122998
Vodacom	25235
FA Cup	2562
2009 Pulitzer Prize	41219
end-March 7 %	102347
Secret Service security lapses	148826
U.S. mortgage finance companies Fannie Mae	88065
Purisima	31434
Black and Yellow	28936
Hyundai Motor India Ltd. Tata Motors Ltd.	85179
Skull Candy	67007
least 30 civilian deaths	160000
PulteGroup	17472
The Wilderness Downtown	20648
Media Group My	71802
Quitokeeto	68444
1.4 trillion	125935
two North Carolina residential homes	144566
Friends of the High Line	34101
more 25 attacks	139480
8 % forecast	106556
Google TV software	109535
other websites apps	119316
total guarantee capacity	112913
Southern markets	90421
Woodle	38695
J n J	58370
Crowds	18636
John Cushman	40938
Violent Mentally Ill	131891
self-	93830
regular 150-day parliamentary session	80310
Own Foundation	51466
St phane Dujarric	41246
AFC East	7626
Titanfall	62611
Skora FORM	47594
community colleges	138251
Hayabusa	35777
Iwasaki	52277
moonstones	165507
Dorushka	43992
more home buyers	148948
alleged irregularities	112153
Peripheral Eurozone	71748
Central Asian yogurt drink	115377
Google Apps	16614
just 10	140579
same-day shipping	119735
No Lost Causes	44541
Impressionists	11877
Benioff	24885
Old-style	45650
House for Sale	48524
American depositors	101833
departure point	102891
Republican nominee	124601
main sanctions	116380
emergency loans	111380
Every Day	32827
closing price	124062
foreign policy record	132450
similar range	147073
VIPShop Holdings Ltd.	137406
offensive dynamism	88128
The Child 's Eye	14853
sheet	158205
estimate	82907
minus-20	125047
Egg	24178
much common ground	157563
David Ben Gurion	44748
SolarGate Technology Corp. Chief Financial Officer Chitung Liu	102424
insurance department	131635
Nancy Gertner	73122
investigative processes	135308
Buffalo Bulls	76999
Bastianich	4256
national statistics agency	161001
Karuizawa	61237
Take Five	59344
S&P parent	154989
Quanta Computer Inc.	6954
Nano mini-car	127962
New York insurance commissioner	82138
Niger	16047
international orders	103326
Liberal Network	70912
purpose	83067
Don 't End	54865
greater earnings momentum	135872
Penguin Group	7716
private colleges	151840
court composer	117979
ruby slippers pinafore dress	121466
investment income	79478
Diane von Furstenberg	12180
" better sheen	135816
PGA Championship	8663
Whac - A- Mole	17268
Black Robe	38475
three questions	162376
Hunanese	28753
Magic Cancer Bullet	23332
two new hotel brands	138181
crucial year	78915
federal regulators	80613
more 15 billion	118985
Meteorological Satellite Program	49881
bovines	121952
two bedrooms	162137
Nok Air	11445
Citigroup Global Markets	16111
Art Gallery	73586
earlier works	132159
Roman Catholicism	58573
Avaya	34503
Thanos Veremis	49159
benchmark rates	131347
master	118934
50 % acceptances	82304
American LoL	67390
Taliban IEDs	24296
pension reform	90499
same target range	115432
political parties	82141
Palgrave Macmillan	6843
unique position	149793
Matthew Wilhelm	71627
rewards	84464
Cook 's Illustrated	39495
Monte Rosa	68922
free skin	84558
fleet changes	115773
Appalachian gas business	134002
mid-June	147391
ICVL	30079
CenturyLink	37533
nearly 100 tons	161657
feasibility	134208
Niagaras	36023
Nobel laureate	84429
Barnardine	6557
traditional practice	125536
total estate	136222
Fla.-based Heritage Bank	127036
Japan-based Panasonic	13414
Zeti	25200
farmland decades	142483
partisan obstruction	139307
Rohatyn Group	65646
Josh Lee	57586
Star Wars Ultimate FX LightSaber	36337
Edge of Glory	71326
SPEEA	48863
free shipping minimum	149514
feeling	93931
release version	113907
only resort	100176
Democrat Bill Blasio	135697
JAMA Oncology	74842
annual sales gain	114423
Ghanaians	34931
additional sanctions	84259
registration election process	150373
Chicago	97
April-2008	3521
cramped women	157651
Rufous	63743
Mightier Than the Sword	34782
Oct. 14 News You Can Use	15105
postcodes	79635
278	126235
Belarussian	11726
World Whiskies Awards	6278
La Caravelle	62949
Starbucks Frappaccino bottles	118452
25-year bonds	104335
Antonucci	16448
ordinary conditions	112070
regulatory nominees	133163
SoftBank Ventures	61353
7.5%.	149559
affairs	95829
Zahir Azimi	15836
5 % threshold	154404
Franzen	4295
two-year contracts	120649
2.71	123073
2.70	86924
2.73	102966
Age of Emancipation	65435
T4-7	38634
charter schools	81288
record 772 million foreign bribery settlement	160721
2.76	150554
308.8 million	84175
Rassoul	54645
private coverage	125032
NEW YORK Brinker International Inc.	19401
Tom Wolf	33736
Gronkowski	37264
Calwerstrasse	31590
fierce opposition	133688
Nantucket red lime green	114336
greenback	78344
biotech health-care companies	158070
shipments	81240
global foreign-exchange activity	138514
high-speed traders	155512
Bahraini Shiite	36980
Chaldean	65014
guest house	88549
railroad operator	122728
flagship paper online	107886
Fat City	33692
Faberge Imperial Easter eggs	139932
specific applications	155788
new oversight powers	101301
700 jobs	119360
Pandora	775
CBS Sports Network	55358
cigarette line	136134
Hush Society Magazine	12133
British Sky Broadcasting Group	14466
Encore	13706
Grifols	60468
John Shadegg	4852
federal buildings	154225
Israeli naval fleet	79100
Barnes - Jewish	43056
Other extraordinary measures	153606
Dumbest Cops	66021
Lanvin	4202
New Yorkers United	57949
inventory valuation	97033
studio models	146353
The King of Comedy	52664
sore spot	150406
three different types	124462
South of the Clouds	23942
Epidermis One	38723
bigger share	84742
Singapore-based Amanresorts	33217
TEACs	27952
U-6	48964
5,032 megawatts	97732
regional private equity firm	142843
new permanent U.S. military presence	111412
U-2	25882
league-leading percentage	135657
Jacobson	5687
rediscovery	99958
exquisite take	103401
Radar Logic	15090
fresh barricades	143893
fragrant scallion oil	92899
Basinger	36072
Tony Award	7993
April 1	80331
Taiyo	58588
Rizvi	26567
multipurpose vehicles	130007
Thai company	130364
Chinese property	78789
other Miliband	89763
Bowl Conference Series	26339
interest rates	82243
Sidi Genius	69875
David Nelson	36433
Le Grand Day	20930
additional 20 million	127810
per-share adjusted earnings	137068
Criterion Collection	19406
Velvet Bullets and Steel Kisses	33053
plate	144705
kilowatt hour	80598
242,400	122999
Cannes France leaders	111011
finances management	134817
annual competition	118734
manufacturing problems	86092
analysts projection	163187
Crunchburger	24060
Scott Thompson	41012
electronic magazines	84824
Art : Photography Past and Present	50289
former advisers	104813
sad figure	142789
greater freedoms	136315
125 million loan	108230
admissions consultants	134979
reverse swap contracts	124571
militant group Islamic State.	153230
Senators	9636
Notre Dame University	10323
New York Democrats	46100
stylish shoes	156353
" unprepared "	100277
deGrom	70268
new oil gas assets	99047
JP Morgan	2886
Peace Time.	39868
Andover	6342
patch	132923
industry economy	124668
Senate panel	123754
Dancer	20425
middle states	105557
Seattle maker	87125
s flourishing auto industry	154934
lower tier cities	162422
NBC career	95854
fair responsible investigation	121039
most significant	132935
sharp fiscal measures	83683
unconscionable evil	159076
second effort	157064
Chabadniks	44355
further 50 % more	110932
Safaricom	27411
Billingsgate	74849
latest report	115462
OBLcrew	53569
Lay Me Down	62925
only four buyout funds	79732
senseless act	138802
3 billion cost-cutting program	159146
Phoenix Business Journal	68915
PSA Peugeot	1579
Anderson	1562
optimism	82529
10 billion weeks	113842
more one trillion yen	119941
Four Loko	24101
first large jetliner program	107478
U.S. wine	162129
A shares	139460
grass-fed cattle	157614
Indianapolis-based Simon	22906
full-year net loss	159307
public transport fares	159917
lots	79592
stand-alone Medicare prescription	111314
earnings guidance	114624
Iron ore	43057
Heidrun	69174
great German mathematician Bernhard Riemann	142376
non- disclosure agreement	134812
Chugoku	61519
personal video recorders	99255
" local administrative councils	124190
Lush Life	7909
Doors " The End	6436
meaningful amounts	85902
MGIC	9435
Eichner	24024
real contract	123209
wage	101114
Senior Transatlantic Fellow	6294
3,697 ounces	136610
Owen Thomas	2702
nature	82688
customer service	85218
Eisai	18721
Super Bowl XLV Feb.	29298
other trading partners	140180
best performer	106854
best mathematical results	160091
business-to-business payment card	129545
new security leadership	157998
South Korean Chinese rivals	80740
Monsanto Co. DuPont	57713
Russian military products	139207
immense width	125541
Our Lady of Victory	43156
deep involvement	133605
more partnerships	127056
13.8 %	138555
board members players	82086
airflow	94000
Fulton Street Maul	56250
I-9s	59353
start-ups	102085
The Mummy s Hand	68688
fin business	128639
Church Avenue	54441
Madison	4345
ASX-200	18529
New China Life Insurance Co.	19379
Shark Week	43973
Godgiven	10277
Vitamin P.	15373
efflux capacity	102253
HNA	33219
numerous original elements	152422
Apartment	60319
armed men	150476
Saint Laurent	23284
stability independence	91847
Am Zirkus 1	13596
Balkh	16379
pain drug Avinza	86866
Gymboree	12754
Nazon	4774
strong support	97734
General of the Army	27083
Suning Appliance Co.	20807
nearly 250,000	132390
surname	113036
pilot version	160211
anticompetitive tactics	165489
Maclaren USA	17611
second Rice videotape	152418
Square Dance	33171
new price	106694
8.02 billion	128819
PBM business	93753
Social Satire	36829
USA Cycling	56484
3.84	96990
Holcim executives	165119
ad service	137273
3.89	135164
Republican takeover	89930
storm preparation	123571
decision short	83403
Raspberry Pi	74568
Leatherback	38805
market bonds	122343
All Things Considered	54892
cronyism more	82466
Prirazlomnoye	57549
fellow commissioners	163262
Martin Brodeur	18252
Hearst Magazines	17253
accounting error	146881
Banco Popolare	34217
spit	85031
other chicken products	132974
3,400	159620
Classic Cure-All	39377
AL West	18265
Alaskan coastline	145638
All Things D.	43327
drug distributors	110600
Donovan	17078
three people	132776
doubts	80541
Akerson	14539
In First Thessalonians	7485
air-conditioning heating systems	120404
Brands Gone Bad Returned to Glory	52223
Toho Studios	69280
financial disclosures	99051
Fact Sheets 2010	11100
Top 50 Start-Ups	44384
Louis XV	13610
historical argument	117210
Ben-Gurion	23090
Knicks Clippers	145808
right service	85500
273,411 tons	153011
Doxer	21485
Irish Times	25353
Mus e d Art et Histoire de Juda	69394
Mr. bin Laden	2289
formal antitrust proceedings	117512
Local Government Supervision Act	150831
Cannabis Coffeeshop System	32127
iShares ETF	4068
Little Stranger	7911
bi polar disorder	143214
4,200 vehicles	153464
Wonderful Life.	57017
fewer 20 units	113449
Hillcrest Bank	18321
1,000 locations	100508
Fairholme Fund	22286
kohs	162118
10 % economic growth	153906
Equinox Partners LP	63303
Jewels	75405
" maybe 19 "	111713
Brookings	2669
disappointing outlook	145516
Embossed	34470
Nippon Sheet Glass	20204
38.47 billion	127703
Nalco purchase	120261
direct impact	105018
Nasdaq Composite Index	843
bricklayer	99002
CEIBS talent	124239
Super Halal Meat	31628
WFXT	55755
Crawford	4990
five incidences	161996
Chemical Analysis Group	74620
full business dealings	143444
Tahitian	10951
Against the Tide	61007
core apparel	137297
own destiny	150463
34 countries	145339
William Pitt	15355
residential commercial loans	88762
Education Management Corp.	21310
highest murder rates	98393
unresolved Oedipus complexes	145065
442 people	102254
52 million people	93556
Feingold	7434
shutdowns	144865
joint proposal	144149
Zeltiq Aesthetics Inc.	32343
Eurodif	7237
Zulfikar Ali Bhutto	31045
Nutmobile	36796
Rebus	51640
FactSet Research System Inc	37616
700 million New Zealand dollars	103450
Tahari	14841
foreign-exchange trading	119981
Nasdaq Composite 55.69	36850
Miami Dolphins	33874
EBA	27237
youthful line	116164
WA7 Fireflies	65007
National League Championship Series.	16392
modest fourth-quarter profit	157738
first general officer	113397
academia	92092
upstanding American businessman	106392
EBS	9374
new bus lines	132392
farm bill amendment	151491
blowout mortgage earnings	80656
abortion language	163802
video-on-demand	115546
Tabla	12093
Impossible Foods	69860
New Safe Confinement	77256
Arizona one	138065
new digital	115302
Nuzzo	47815
U.S.-based Yum Brands Inc.	30705
Laureate	44987
local Taliban commanders	117451
Arsenic and Old Lace	66032
mining project	86134
2010 Pinot Noir	63229
Dreamlimer	52870
190 billion rupees	81386
non-Arab Sudanese	128190
infamous kick	127735
shakedowns brutality	109526
territorial withdrawals	140193
just small portion	134724
controversial file	129741
Tefaf 2010	12824
Title IX	40058
National Defense	11618
Masters Series	58787
boat steward program	130093
Oscar	1161
Millicom International Cellular SA	61354
Real American Stories	3535
Title IV	29505
Kikukawa	33253
Post Office	8154
WASHINGTON China	16472
corporate tax rate	131545
staff travel	154801
Joseph Eichler	43645
Real Sport	9618
first Monster	102336
64 candles	145128
hat	142562
North American sales	150769
passionate defender	153265
Pharmaceuticals Index	19582
Stuarts	61044
2.59 billion	144796
15.35 billion	93792
solar resources	92759
combined cycle plant	89734
Shamsul	69733
256.4 billion	102736
36 % rise	115916
Nuclear power rate payers	140328
September quarter	133886
Skoda Auto a.s.	43805
Raging Bulls	52769
Postmodern Times	44113
six-year-old art foundation	137468
Schoolies Week	28712
manic coercive mobilization	122970
official interest rates	153417
Wild Tales	74748
current potential employees	140648
newfound fame	145197
LONDON Imperial Tobacco Group PLC	24811
Alnylam Pharmaceuticals Inc.	32011
big steady yield	85035
prison staff	115802
Pentagon	1599
central contradiction	146088
new round	86354
Swedish	1834
Ontario Teachers	9555
Rainy Days	52801
Bonial	58705
Colt Is My Passport	36785
crowd	85631
crowe	1465
Victorian Age	63389
smartphone apps	112218
Ah Um	55226
Expressways	15447
crown	164817
GOP Senate	8066
potential legislative proposals	154738
Chevrolet Spark	30615
crows	127853
Georgia Bottoms	55362
Dana Gitell	59009
manufacturers service providers	102883
Vauxhall Nine Elms	69411
best-of-seven series	110590
The Left	13345
Intrepid Museum Foundation	30403
narrow 3.2 %	91491
Special Operations Forces	215
1330 Sixth Ave.	97394
production increases	93574
bottom	85684
Russian subsidiary	157087
Times Co.	5740
Joriku	61968
American Gourmet Group	59195
AirOne	56436
Velcade	9701
public reporting	131952
several quarters	86225
Facebook	40
Same Rules	47165
book hotel rooms	160322
Devanagari	46807
0.26 %	159851
Bears and Cyclones	39697
larger base performance fees	102350
In s de la Fressange	53927
Reaganite	29863
spoiling work.	134215
Jan. 17 News You Can Use	41089
yuan bonds	93721
current fiscal year.	93703
extremely rich customers	124915
4.949 billion	78928
liver	146066
wildcat strikes	123204
Moyamba	75640
Conference Board report	93043
Lesbians	54397
Sheep Creek Hydro	56474
South Korean auto makers Hyundai Motor Co.	144782
large high-margin projects	131782
propaganda leaflets	121584
industrial investments	100447
Chelsea Hotel No. 2	16550
1,000 homeowners	136588
climate agreement	153323
Orangevale	29479
Colm Kelleher	7245
8.75 %	105695
47 appearances	164763
717 Market St.	53561
garden furniture	108875
commerce giant	147364
international peace	122080
Stern Architects	24019
state minimum wage	144132
Reversalist Night Renewal Cream	45619
Forrest Gump : Power	75921
Catholic Bishops	8578
559 million loss	101899
Buffalo upstate	158521
The Annotated and Illustrated Double Helix	50499
CaRDs DugOUT	32954
Mathon Limited	75507
clear right	160577
Hiscox	11264
following statement	79628
occasional smirk	134779
Sing a Song of Sex	53319
advertising deals	94813
European investment	159110
High Sierra	30492
Pirelli Scorpion	73044
Damson plums	127856
Journal s Super Bowl Party Rules	72908
valuable guide	118592
appropriators	81035
Long Time	51175
Quinn 's Book	32211
Upper East Side Democrat	33060
dramatic ambient soundscapes	112631
Special Action Force	72617
City Councilman Les Wynan	47649
fiscal first-half net profit	96700
downtown New York	129148
Hush Puppies	71072
63.9 billion	127013
stock price	90874
television sets home appliances	142671
phone power bills	161995
voluntary public offer	95676
rapes	163332
music	83630
late-stage Phase II III clinical trials	113254
Buy California Bonds	30316
how spouses	120514
Endo	25296
investment exposure	134620
foreign currency bond ceiling	91192
Rockland County	16400
Google or Wikipedia	69051
2.5 % decline	131494
472 million	145089
6 % spending increase	155389
Philogelos	61202
viewers advertisers	97987
trading revenues	122821
distortions	87574
local non-banking players	109788
Warid Telecom	2721
Nummi open	69820
additional cargo flights	148881
Dirty Wars	65186
Timber Hill LLC	34348
Austrian Ladies ' Football League	28416
Canadian owner	138166
mental activity	112160
Nineteenth	76277
Masaaki Osumi	31452
average small stock	107991
623.2 billion yuan	120210
L- methylfolate	117740
Picabia	44069
Boom , Pop	70317
packaging bundles	131808
clearance process	126137
external demand	125162
U.S. regulators	124788
gold medals	80488
2014 fringe performer	157468
iShares S&P SmallCap 600 Index Fund	46304
Household	64654
clause	97735
upbeat profit outlook	146196
MSCI EAFE Index	76439
103.24.	124801
County	28223
Kudankulam plant	119217
extra digital channels	89529
refined products	91457
sales target	78343
new Merck study	96524
national interests	162762
Stallard	64886
Comcast Corp.	1054
Sentinel Total	44220
passenger	90841
Big Pink	73507
direct sales approach	101405
middle-of-the-road balladeer	156206
strong export figures	117016
newer faster tools	160195
Jardin d Acclimatation	68291
Occidental Petroleum Corp.	8105
gold imports	135797
Chelsea art gallery	160047
tax treaties	149290
unhappy Morgan Stanley advisers	121136
Caspian Sea	9799
fundamental unseriousness	151963
90 million	90186
mixed U.S. results	144981
last May	131996
less severe regulation	149429
first response	157834
South Korean activists	148577
further strong showing	94273
Culinart	25421
FitzPatrick	94610
populations	125588
foreign aircraft manufacturers	95528
new marketing agreement	126556
Constitutional	10326
significant impact "	116323
EHealth	23964
offender cases	104396
Breinberg	29758
Vaping	63275
CNY1.04	69260
cans cars	165770
Hummingbird	28770
more data	131050
greater damage	145338
hate online	157690
Michael Casey	2187
20 billion 30 billion	106055
One-Hour Photo	43724
Scarborough Shoal	46392
Melbourne	1750
John Doe investigations	164474
secondary role	154663
iShares MSCI BRIC Index	399
Dmytro Bulatov	65299
Cleveland-based Logan Clutch Corp.	16075
Boeing Dreamliners	54929
Ida	26179
sneakers apparel	148555
Old-Time	41745
durable goods	83601
French Country	63979
Book of Beetles	73657
new stimulus measures	110714
SFJazz Collective	54459
" business decision	102959
satellite TV operators	97641
U.S. surveillance aircraft	153486
Remembrance Day	22828
Jan. 11 News You Can Use	51951
Rally Squirrel T-shirts	34750
Latino Democrat	52877
12 stores	123599
higher Monday	140149
Almay	46546
good start	131939
compressed natural gas	149031
French Revolution	22680
anti-American Sunni Islamic	59842
713 million	150816
single soul	122717
chain	81404
MMSCMD	41871
strong client relationships	138449
Six-Party Talks	61647
Hula - Hoop	51369
ad agencies	115834
Vostochny Cosmodrome	69835
Aborigine	37282
Hospital Triptych No. 3	61868
other reimbursement requests	132401
Russell Eurozone Index	71649
little creatures	159027
March quarter	86147
chair	111159
Hasso Plattner Institute	42309
96 judges	143164
Well Fargo	45983
goods services	85538
Badgers scored 70 against Northwestern	30902
ballet	136520
inaugural edition	120455
Peter Longerich	15815
second best quarter	138573
political dissenters	118653
high-yielding domestic government debt	133970
American Veterans Disabled for Life Memorial	69794
Regulatory Commission	36722
sonar device	152142
only response	140211
Insurance "	133949
VR One Cinema	77697
Wasatch Small Growth	60182
merger situation	91949
Korando Sports SUV	40260
traitors	155243
Daily Mail	4490
nonfatal stove injuries	139036
ART.	159834
oversight	88203
Sequete	36956
John Thornton	62575
Chicago mayor	101260
Burmese Harp	36776
Windows Word	14650
other illegal activity	156954
major onboard power failure	94818
second final retirement	103303
99-year-old office building	111420
evasionhave	155981
Alawite	24216
largest individual shareholder	151055
multiple providers	160151
overall health system utilization	88412
widespread arrests	106761
Dingo West	43416
guide blog	98376
Bedouins	1684
nuclear capabilities	161397
magnetite iron ore	93706
minute	81998
Dr. Riley 's Box of Tricks	39762
outdated " inflated cost	89438
Glengarry Glen Ross	15365
Tri-State	47926
Leading Economic Index	28653
Hellman	2027
reining	90026
potential site	137479
309 million rupees	79697
Beau Lescott	59268
cars airplanes	122328
implants	98143
Canting Crew	25453
Katrina	2708
De Seed	140722
64 % slump	130993
real estate	78897
next two years.	78832
other practices	119436
Santa Barbara	1002
Sahay	34751
Russian search providers Yandex NV	86637
HMTD	53175
Twelfth Night Festival	73267
opposition New Democracy party	102332
New York state Assembly	129926
Atlanta Art	31972
U.S.- stock funds	122210
Big Screen	48267
Kravis Roberts Co.	89508
M.	4327
U.K. pounds	146047
Cowboys Are My Weakness	42866
Canaries ' Premier League	54294
Florida Republican	29601
Nihiwatu	69756
M3	19387
M2	56545
private school education	155821
348 million	134595
intricately carpets	165984
Agricultural Act	53451
rotor tube	105192
Jevans	39777
Kelly Tobin	60542
FPSOs	57437
Other Stars Who Were Named Men 's Health 's Hottest Women	55587
headline loss	128290
APEC summit	149455
cumulative 75 billion budget shortfall	80821
Gazprom Neft	60653
Timotheus H	60361
home values	108302
latest barrage	100370
Melveny	34543
532 million	101054
Swedbank AB	5182
drugs offenses	161191
559.6 million	78566
Gotham Chamber Opera	9034
Q400 turboprops	79253
Gophers	30899
89.7 million	144862
Rose Planetarium	6708
Ma	5383
